epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.9204,1.39594,9.7894,1.65924,0,0,0,0,0,45.5895,0,0.000647619,0.000647619,0.000647619
2,158.075,1.72283,7.75848,1.94421,0,0,0,0,0,45.1106,0,0.00128826,0.00128826,0.00128826
3,252.103,1.51117,14.3032,1.54569,0,0,0,0,0,40.4962,0,0.00190251,0.00190251,0.00190251
4,345.866,1.67276,13.0637,1.69037,0,0,0,0,0,35.6213,0,0.0018812,0.0018812,0.0018812
5,416.916,2.05844,7.8751,2.02789,0,0,0,0,0,31.0619,0,0.0018416,0.0018416,0.0018416
6,482.241,2.0433,9.20947,2.07846,0,0,0,0,0,25.8021,0,0.001802,0.001802,0.001802
7,547.172,1.94241,9.65701,1.92844,0,0,0,0,0,25.922,0,0.0017624,0.0017624,0.0017624
8,612.496,1.8453,8.73961,1.87982,0,0,0,0,0,25.9615,0,0.0017228,0.0017228,0.0017228
9,686.294,1.64493,9.29755,1.75589,0,0,0,0,0,24.0634,0,0.0016832,0.0016832,0.0016832
10,757.453,2.06934,7.05568,2.13598,0,0,0,0,0,23.0846,0,0.0016436,0.0016436,0.0016436
11,821.857,1.77681,8.05578,1.85897,0,0,0,0,0,22.6375,0,0.001604,0.001604,0.001604
12,887.475,2.00831,7.01082,1.9304,0,0,0,0,0,18.6602,0,0.0015644,0.0015644,0.0015644
13,951.517,2.1787,7.12996,2.30839,0,0,0,0,0,18.1254,0,0.0015248,0.0015248,0.0015248
14,1017.84,2.12933,6.05019,2.2565,0,0,0,0,0,18.3944,0,0.0014852,0.0014852,0.0014852
15,1084.24,2.3368,5.66649,2.36735,0,0,0,0,0,17.1543,0,0.0014456,0.0014456,0.0014456
16,1150.37,2.14018,5.88502,2.12111,0,0,0,0,0,16.094,0,0.001406,0.001406,0.001406
17,1216.26,2.06358,5.8742,2.12679,0,0,0,0,0,14.7278,0,0.0013664,0.0013664,0.0013664
18,1283.1,2.08294,5.25108,2.22928,0,0,0,0,0,14.6454,0,0.0013268,0.0013268,0.0013268
19,1350.51,1.72306,5.49634,1.91276,0,0,0,0,0,14.2826,0,0.0012872,0.0012872,0.0012872
20,1416.32,2.39292,4.81638,2.5426,0,0,0,0,0,13.6019,0,0.0012476,0.0012476,0.0012476
